repo_id"user_id"created_at"ext_ref_id
1"71003"2009-02-16 11:51:54"523add98bd3543223900a1e0
19580"64816"2010-05-10 15:17:33"523558b0bd3543556d00111c
19580"64817"2010-05-10 15:17:33"523558b0bd3543556d00111d
19580"64818"2010-05-10 15:17:33"523558b0bd3543556d00111e
19580"64820"2010-05-10 15:17:33"523558b0bd3543556d001120
19580"64821"2010-05-10 15:17:33"523558b0bd3543556d001121
19580"64822"2010-05-10 15:17:33"523558b0bd3543556d001122
19580"64823"2010-05-10 15:17:33"523558b0bd3543556d001123
19580"64824"2010-05-10 15:17:33"523558b0bd3543556d001124
19580"64825"2010-05-10 15:17:33"523558b0bd3543556d001125
19580"64826"2010-05-10 15:17:33"523558b0bd3543556d001126
19580"64827"2010-05-10 15:17:33"523558b0bd3543556d001127
19580"64828"2010-05-10 15:17:33"523558b0bd3543556d001128
19580"64829"2010-05-10 15:17:33"523558b0bd3543556d00112a
19580"64830"2010-05-10 15:17:33"523558b0bd3543556d00112c
19580"64831"2010-05-10 15:17:33"523558b0bd3543556d00112d
19580"64832"2010-05-10 15:17:33"523558b0bd3543556d001131
19580"64833"2010-05-10 15:17:33"523558b0bd3543556d001132
19580"64835"2010-05-10 15:17:33"523558b0bd3543556d001133
19580"64836"2010-05-10 15:17:33"523558b0bd3543556d001134
19580"64837"2010-05-10 15:17:33"523558b0bd3543556d001136
19580"64838"2010-05-10 15:17:33"523558b0bd3543556d001138
19580"64839"2010-05-10 15:17:33"523558b0bd3543556d001139
19580"64840"2010-05-10 15:17:33"523558b0bd3543556d00113b
19580"64841"2010-05-10 15:17:33"523558b0bd3543556d00113d
19580"64842"2010-05-10 15:17:33"523558b0bd3543556d00113e
19580"64843"2010-05-10 15:17:33"523558b0bd3543556d001140
19580"65466"2010-05-10 15:17:33"52aadfacbd3543c18f000001
19580"268605"2010-05-10 15:17:33"52aadfacbd3543c18f000004
19580"282682"2010-05-10 15:17:33"52aadfacbd3543c18f000003
19580"507524"2010-05-10 15:17:33"52aadfacbd3543c18f000002
19580"507736"2010-05-10 15:17:33"52aadfacbd3543c18f000005
19786"64261"2010-06-29 18:03:33"52355e51bd3543746f000fe2
19786"64280"2010-06-29 18:03:33"52355e51bd3543746f000fe3
19786"64398"2010-06-29 18:03:33"52355e51bd3543746f000fe4
19786"64594"2010-06-29 18:03:33"52355e51bd3543746f000fe0
19786"66815"2010-06-29 18:03:33"52355e51bd3543746f000fe1
22980"5052"2011-01-02 23:10:05"52358b64bd3543b49600395d
22980"68370"2011-01-02 23:10:05"52358b64bd3543b496003960
22980"68371"2011-01-02 23:10:05"52358b64bd3543b49600395f
22980"68376"2011-01-02 23:10:05"52358b64bd3543b496003965
22980"68377"2011-01-02 23:10:05"52358b64bd3543b49600395c
22980"68389"2011-01-02 23:10:05"52358b64bd3543b496003962
22980"68391"2011-01-02 23:10:05"52358b64bd3543b496003963
22980"68399"2011-01-02 23:10:05"52358b64bd3543b49600395a
22980"68471"2011-01-02 23:10:05"52358b64bd3543b496003964
22980"68475"2011-01-02 23:10:05"52358b64bd3543b496003961
22980"69327"2011-01-02 23:10:05"52358b64bd3543b49600395b
22980"69482"2011-01-02 23:10:05"52358b64bd3543b49600395e
22980"506736"2011-01-02 23:10:05"52aadfafbd3543c19d000001
22981"16796"2010-11-09 08:22:21"5236c8a5bd3543981b00882a
22981"32776"2010-11-09 08:22:21"5236c8a5bd3543981b00882b
22981"37110"2010-11-09 08:22:21"5236c8a5bd3543981b008825
22981"40017"2010-11-09 08:22:21"5236c8a5bd3543981b008829
22981"70526"2010-11-09 08:22:21"52aadfb0bd3543c1a8000001
22981"71462"2010-11-09 08:22:21"5236c8a5bd3543981b008828
22981"71492"2010-11-09 08:22:21"5236c8a5bd3543981b00882e
22981"71529"2010-11-09 08:22:21"5236c8a5bd3543981b008826
22981"71561"2010-11-09 08:22:21"5236c8a5bd3543981b008824
22981"71635"2010-11-09 08:22:21"5236c8a5bd3543981b008827
22981"71840"2010-11-09 08:22:21"5236c8a5bd3543981b008821
22981"72309"2010-11-09 08:22:21"5236c8a5bd3543981b00882d
22981"73885"2010-11-09 08:22:21"5236c8a5bd3543981b008822
22981"74714"2010-11-09 08:22:21"5236c8a5bd3543981b00882c
22981"76053"2010-11-09 08:22:21"5236c8a5bd3543981b008823
23781"3468"2011-09-08 14:52:50"5235a5eebd3543ac3d0021c1
23781"9652"2011-09-08 14:52:50"5235a5eebd3543ac3d0021d5
23781"11124"2011-09-08 14:52:50"5235a5eebd3543ac3d0021d8
23781"16101"2011-09-08 14:52:50"5235a5eebd3543ac3d0021cd
23781"16422"2011-09-08 14:52:50"5235a5eebd3543ac3d0021d4
23781"16660"2011-09-08 14:52:50"5235a5eebd3543ac3d0021c8
23781"17548"2011-09-08 14:52:50"5235a5eebd3543ac3d0021d9
23781"20430"2011-09-08 14:52:50"5235a5eebd3543ac3d0021b9
23781"25095"2011-09-08 14:52:50"5235a5eebd3543ac3d0021d3
23781"28480"2011-09-08 14:52:50"5235a5eebd3543ac3d0021be
23781"28799"2011-09-08 14:52:50"5235a5eebd3543ac3d0021bc
23781"33639"2011-09-08 14:52:50"5235a5eebd3543ac3d0021c3
23781"52586"2011-09-08 14:52:50"5235a5eebd3543ac3d0021d1
23781"56179"2011-09-08 14:52:50"5235a5eebd3543ac3d0021bf
23781"57993"2011-09-08 14:52:50"5235a5eebd3543ac3d0021c9
23781"61000"2011-09-08 14:52:50"5235a5eebd3543ac3d0021d0
23781"61142"2011-09-08 14:52:50"5235a5eebd3543ac3d0021bb
23781"71285"2011-09-08 14:52:50"5235a5eebd3543ac3d0021c5
23781"72107"2011-09-08 14:52:50"5235a5eebd3543ac3d0021cc
23781"72858"2011-09-08 14:52:50"5235a5eebd3543ac3d0021d6
23781"74886"2011-09-08 14:52:50"5235a5eebd3543ac3d0021bd
23781"76364"2011-09-08 14:52:50"5235a5eebd3543ac3d0021c2
23781"76495"2011-09-08 14:52:50"5235a5eebd3543ac3d0021ba
23781"76496"2011-09-08 14:52:50"5235a5eebd3543ac3d0021c0
23781"76497"2011-09-08 14:52:50"5235a5eebd3543ac3d0021c4
23781"76498"2011-09-08 14:52:50"5235a5eebd3543ac3d0021c6
23781"76499"2011-09-08 14:52:50"5235a5eebd3543ac3d0021c7
23781"76500"2011-09-08 14:52:50"5235a5eebd3543ac3d0021ca
23781"76501"2011-09-08 14:52:50"5235a5eebd3543ac3d0021cb
23781"76502"2011-09-08 14:52:50"5235a5eebd3543ac3d0021ce
23781"76503"2011-09-08 14:52:50"5235a5eebd3543ac3d0021cf
23781"76504"2011-09-08 14:52:50"5235a5eebd3543ac3d0021d2
23781"76505"2011-09-08 14:52:50"5235a5eebd3543ac3d0021d7
24292"2969"2009-05-27 14:29:46"52361258bd3543b9340095a9
24292"11067"2009-05-27 14:29:46"52361258bd3543b9340095aa
24292"11103"2009-05-27 14:29:46"52361258bd3543b9340095af
24292"11106"2009-05-27 14:29:46"52361258bd3543b9340095ab
24292"11107"2009-05-27 14:29:46"52361258bd3543b9340095b1
24292"11705"2009-05-27 14:29:46"52361258bd3543b9340095ae
24292"11766"2009-05-27 14:29:46"52361258bd3543b9340095b0
24292"19286"2009-05-27 14:29:46"52361258bd3543b9340095ad
24292"30394"2009-05-27 14:29:46"52361258bd3543b9340095b3
24292"30545"2009-05-27 14:29:46"52361258bd3543b9340095ac
24292"30793"2009-05-27 14:29:46"52361258bd3543b9340095a8
24292"30794"2009-05-27 14:29:46"52361258bd3543b9340095b2
24292"76094"2009-05-27 14:29:46"52361258bd3543b9340095b4
24292"507735"2009-05-27 14:29:46"52aadfb3bd3543c1b6000001
25875"9121"2009-04-03 13:20:14"5235f595bd35431622007300
25875"9525"2009-04-03 13:20:14"5235f595bd35431622007303
25875"16599"2009-04-03 13:20:14"5235f595bd35431622007305
25875"19815"2009-04-03 13:20:14"5235f595bd35431622007302
25875"76381"2009-04-03 13:20:14"5235f595bd35431622007304
25875"76382"2009-04-03 13:20:14"5235f595bd35431622007306
25875"76383"2009-04-03 13:20:14"5235f595bd354316220072fd
25875"76395"2009-04-03 13:20:14"5235f595bd354316220072fc
25875"76399"2009-04-03 13:20:14"5235f595bd354316220072ff
25875"76403"2009-04-03 13:20:14"5235f595bd354316220072fe
25875"91973"2009-04-03 13:20:14"52aadfb4bd3543c1bf000001
25875"93517"2009-04-03 13:20:14"5235f595bd35431622007301
26388"5762"2010-01-24 17:03:24"5236bf14bd354338c8008bc3
26388"76841"2010-01-24 17:03:24"5236bf14bd354338c8008bc7
26388"78066"2010-01-24 17:03:24"5236bf14bd354338c8008bc6
26388"81171"2010-01-24 17:03:24"5236bf14bd354338c8008bc1
26388"81172"2010-01-24 17:03:24"5236bf14bd354338c8008bc0
26388"81176"2010-01-24 17:03:24"5236bf14bd354338c8008bc4
26388"81224"2010-01-24 17:03:24"5236bf14bd354338c8008bc2
26388"81254"2010-01-24 17:03:24"5236bf14bd354338c8008bc5
27504"81111"2011-12-28 21:23:19"5235f3efbd3543ff180030fe
42644"16786"2010-09-27 15:22:42"5236b848bd3543752d005c06
42644"92299"2010-09-27 15:22:42"5236b848bd3543752d005c05
47382"21279"2011-04-18 13:07:41"52361aefbd35434ff40028b1
47382"52884"2011-04-18 13:07:41"52361aefbd35434ff40028b8
47382"75507"2011-04-18 13:07:41"52361aefbd35434ff40028ab
47382"83075"2011-04-18 13:07:41"52361aefbd35434ff40028bf
47382"97313"2011-04-18 13:07:41"52361aefbd35434ff40028be
47382"97316"2011-04-18 13:07:41"52361aefbd35434ff40028af
47382"97320"2011-04-18 13:07:41"52361aefbd35434ff40028b6
47382"97344"2011-04-18 13:07:41"52361aefbd35434ff40028bd
47382"97508"2011-04-18 13:07:41"52361aefbd35434ff40028b3
47382"99744"2011-04-18 13:07:41"52361aefbd35434ff40028ae
47382"106376"2011-04-18 13:07:41"52361aefbd35434ff40028a4
47382"106377"2011-04-18 13:07:41"52361aefbd35434ff40028a5
47382"106378"2011-04-18 13:07:41"52361aefbd35434ff40028a6
47382"106380"2011-04-18 13:07:41"52361aefbd35434ff40028a7
47382"106383"2011-04-18 13:07:41"52361aefbd35434ff40028a8
47382"106384"2011-04-18 13:07:41"52361aefbd35434ff40028a9
47382"106386"2011-04-18 13:07:41"52361aefbd35434ff40028aa
47382"106388"2011-04-18 13:07:41"52361aefbd35434ff40028ac
47382"106389"2011-04-18 13:07:41"52361aefbd35434ff40028ad
47382"106391"2011-04-18 13:07:41"52361aefbd35434ff40028b0
47382"106394"2011-04-18 13:07:41"52361aefbd35434ff40028b2
47382"106395"2011-04-18 13:07:41"52361aefbd35434ff40028b4
47382"106396"2011-04-18 13:07:41"52361aefbd35434ff40028b5
47382"106397"2011-04-18 13:07:41"52361aefbd35434ff40028b7
47382"106400"2011-04-18 13:07:41"52361aefbd35434ff40028b9
47382"106402"2011-04-18 13:07:41"52361aefbd35434ff40028ba
47382"106405"2011-04-18 13:07:41"52361aefbd35434ff40028bb
47382"106407"2011-04-18 13:07:41"52361aefbd35434ff40028bc
47382"106408"2011-04-18 13:07:41"52361aefbd35434ff40028c0
47382"106409"2011-04-18 13:07:41"52361aefbd35434ff40028c1
47382"507737"2011-04-18 13:07:41"52aadfb9bd3543c1dd000001
47382"507738"2011-04-18 13:07:41"52aadfb9bd3543c1dd000002
49675"108174"2012-02-17 13:19:43"52369bdbbd3543f0c1005456
50618"106691"2010-03-23 17:58:01"5237e08fbd35432efa00ce8b
51669"83325"2011-10-13 21:05:42"52379ddfbd35436210009070
51669"101191"2011-10-13 21:05:42"52379ddfbd3543621000906b
51669"104011"2011-10-13 21:05:42"52379ddfbd35436210009068
51669"109244"2011-10-13 21:05:42"52379ddfbd3543621000906e
51669"109246"2011-10-13 21:05:42"52379ddfbd35436210009072
51669"109247"2011-10-13 21:05:42"52379ddfbd35436210009076
51669"109256"2011-10-13 21:05:42"52379ddfbd35436210009071
51669"109266"2011-10-13 21:05:42"52379ddfbd35436210009061
51669"109280"2011-10-13 21:05:42"52379ddfbd3543621000906d
51669"109330"2011-10-13 21:05:42"52379ddfbd35436210009063
51669"109331"2011-10-13 21:05:42"52379ddfbd35436210009066
51669"109533"2011-10-13 21:05:42"52379ddfbd3543621000906f
51669"110028"2011-10-13 21:05:42"52379ddfbd35436210009073
51669"110095"2011-10-13 21:05:42"52379ddfbd3543621000905f
51669"112612"2011-10-13 21:05:42"52379ddfbd35436210009060
51669"122584"2011-10-13 21:05:42"52379ddfbd35436210009065
51669"125693"2011-10-13 21:05:42"52379ddfbd35436210009069
51669"153615"2011-10-13 21:05:42"52379ddfbd35436210009062
51669"160927"2011-10-13 21:05:42"52379ddfbd35436210009064
51669"160928"2011-10-13 21:05:42"52379ddfbd35436210009067
51669"160930"2011-10-13 21:05:42"52379ddfbd3543621000906a
51669"160932"2011-10-13 21:05:42"52379ddfbd3543621000906c
51669"160933"2011-10-13 21:05:42"52379ddfbd35436210009074
51669"160934"2011-10-13 21:05:42"52379ddfbd35436210009075
51669"507739"2011-10-13 21:05:42"52aadfbdbd3543c1f6000001
51669"507740"2011-10-13 21:05:42"52aadfbdbd3543c1f6000002
51669"507741"2011-10-13 21:05:42"52aadfbdbd3543c1f6000003
51669"507742"2011-10-13 21:05:42"52aadfbdbd3543c1f6000004
51671"3491"2010-01-04 13:21:21"52aadfc0bd3543c1fd000005
51671"11800"2010-01-04 13:21:21"52aadfc0bd3543c1fd000001
51671"37030"2010-01-04 13:21:21"52aadfc0bd3543c1fd000007
51671"70289"2010-01-04 13:21:21"52aadfc0bd3543c1fd000004
51671"97313"2010-01-04 13:21:21"52aadfc0bd3543c1fd00000b
51671"112604"2010-01-04 13:21:21"52aadfc0bd3543c1fd000006
51671"113175"2010-01-04 13:21:21"52aadfc0bd3543c1fd00000a
51671"113579"2010-01-04 13:21:21"52aadfc0bd3543c1fd000003
51671"113639"2010-01-04 13:21:21"52aadfc0bd3543c1fd000002
51671"113974"2010-01-04 13:21:21"52aadfc0bd3543c1fd000008
51671"114355"2010-01-04 13:21:21"52aadfc0bd3543c1fd000009
51671"507743"2010-01-04 13:21:21"52aadfc0bd3543c1fd00000c
51671"507744"2010-01-04 13:21:21"52aadfc0bd3543c1fd00000d
59607"17576"2011-08-19 11:34:00"5236d659bd35436ae8005980
59607"29548"2011-08-19 11:34:00"5236d659bd35436ae800598d
59607"52601"2011-08-19 11:34:00"5236d659bd35436ae800598a
59607"119661"2011-08-19 11:34:00"5236d659bd35436ae800598f
59607"119662"2011-08-19 11:34:00"5236d659bd35436ae8005989
59607"119672"2011-08-19 11:34:00"52aadfc2bd3543c206000001
59607"119705"2011-08-19 11:34:00"5236d659bd35436ae8005984
59607"119735"2011-08-19 11:34:00"5236d659bd35436ae800598c
59607"119737"2011-08-19 11:34:00"5236d659bd35436ae8005986
59607"120256"2011-08-19 11:34:00"5236d659bd35436ae8005987
59607"123916"2011-08-19 11:34:00"5236d659bd35436ae8005988
59607"136157"2011-08-19 11:34:00"5236d659bd35436ae8005985
59607"137918"2011-08-19 11:34:00"5236d659bd35436ae8005981
59607"137919"2011-08-19 11:34:00"5236d659bd35436ae8005982
59607"137920"2011-08-19 11:34:00"5236d659bd35436ae8005983
59607"137922"2011-08-19 11:34:00"5236d659bd35436ae800598b
59607"137923"2011-08-19 11:34:00"5236d659bd35436ae800598e
59607"507745"2011-08-19 11:34:00"52aadfc2bd3543c206000002
62501"3410"2010-04-14 07:01:32"5236c4c9bd35437dd1000f47
62501"14310"2010-04-14 07:01:32"5236c4c9bd35437dd1000f42
62501"17359"2010-04-14 07:01:32"5236c4c9bd35437dd1000f45
62501"26969"2010-04-14 07:01:32"5236c4c9bd35437dd1000f33
62501"40434"2010-04-14 07:01:32"5236c4c9bd35437dd1000f40
62501"51368"2010-04-14 07:01:32"5236c4c9bd35437dd1000f3a
62501"62266"2010-04-14 07:01:32"5236c4c9bd35437dd1000f4a
62501"62279"2010-04-14 07:01:32"5236c4c9bd35437dd1000f36
62501"62286"2010-04-14 07:01:32"5236c4c9bd35437dd1000f28
62501"63519"2010-04-14 07:01:32"5236c4c9bd35437dd1000f39
62501"64809"2010-04-14 07:01:32"5236c4c8bd35437dd1000f24
62501"64810"2010-04-14 07:01:32"5236c4c8bd35437dd1000f25
62501"64811"2010-04-14 07:01:32"5236c4c8bd35437dd1000f26
62501"64813"2010-04-14 07:01:32"5236c4c9bd35437dd1000f27
62501"64815"2010-04-14 07:01:32"5236c4c9bd35437dd1000f29
62501"64816"2010-04-14 07:01:32"5236c4c9bd35437dd1000f2a
62501"64817"2010-04-14 07:01:32"5236c4c9bd35437dd1000f2b
62501"64820"2010-04-14 07:01:32"5236c4c9bd35437dd1000f2c
62501"64821"2010-04-14 07:01:32"5236c4c9bd35437dd1000f2d
62501"64822"2010-04-14 07:01:32"5236c4c9bd35437dd1000f2e
62501"64823"2010-04-14 07:01:32"5236c4c9bd35437dd1000f2f
62501"64824"2010-04-14 07:01:32"5236c4c9bd35437dd1000f30
62501"64826"2010-04-14 07:01:32"5236c4c9bd35437dd1000f31
62501"64827"2010-04-14 07:01:32"5236c4c9bd35437dd1000f32
62501"64829"2010-04-14 07:01:32"5236c4c9bd35437dd1000f34
62501"64830"2010-04-14 07:01:32"5236c4c9bd35437dd1000f37
62501"64831"2010-04-14 07:01:32"5236c4c9bd35437dd1000f38
62501"64832"2010-04-14 07:01:32"5236c4c9bd35437dd1000f3b
62501"64833"2010-04-14 07:01:32"5236c4c9bd35437dd1000f3c
62501"64835"2010-04-14 07:01:32"5236c4c9bd35437dd1000f3e
62501"64836"2010-04-14 07:01:32"5236c4c9bd35437dd1000f3f
62501"64837"2010-04-14 07:01:32"5236c4c9bd35437dd1000f41
62501"64838"2010-04-14 07:01:32"5236c4c9bd35437dd1000f43
62501"64839"2010-04-14 07:01:32"5236c4c9bd35437dd1000f44
62501"64840"2010-04-14 07:01:32"5236c4c9bd35437dd1000f46
62501"64841"2010-04-14 07:01:32"5236c4c9bd35437dd1000f48
62501"64842"2010-04-14 07:01:32"5236c4c9bd35437dd1000f49
62501"64843"2010-04-14 07:01:32"5236c4c9bd35437dd1000f4b
62501"128956"2010-04-14 07:01:32"5236c4c9bd35437dd1000f35
62501"132520"2010-04-14 07:01:32"5236c4c9bd35437dd1000f3d
62502"22516"2010-06-04 00:42:05"523780eebd35437e060092c1
62502"76439"2010-06-04 00:42:05"523780eebd35437e060092c8
62502"97407"2010-06-04 00:42:05"523780eebd35437e060092c2
62502"113768"2010-06-04 00:42:05"523780eebd35437e060092c5
62502"114944"2010-06-04 00:42:05"523780eebd35437e060092c7
62502"122700"2010-06-04 00:42:05"523780eebd35437e060092c9
62502"131926"2010-06-04 00:42:05"523780eebd35437e060092cb
62502"131948"2010-06-04 00:42:05"523780eebd35437e060092ca
62502"132113"2010-06-04 00:42:05"523780eebd35437e060092c4
62502"132375"2010-06-04 00:42:05"523780eebd35437e060092c3
62502"136455"2010-06-04 00:42:05"523780eebd35437e060092c6
63250"17542"2010-05-08 12:38:22"5237166fbd354380d4005431
63250"23445"2010-05-08 12:38:22"5237166fbd354380d400542d
63250"25678"2010-05-08 12:38:22"5237166fbd354380d4005430
63250"26020"2010-05-08 12:38:22"5237166fbd354380d400542b
63250"34963"2010-05-08 12:38:22"5237166fbd354380d400542c
63250"47972"2010-05-08 12:38:22"5237166fbd354380d4005432
63250"70653"2010-05-08 12:38:22"5237166fbd354380d4005426
63250"81271"2010-05-08 12:38:22"5237166fbd354380d4005423
63250"95291"2010-05-08 12:38:22"5237166fbd354380d400542a
63250"114050"2010-05-08 12:38:22"5237166fbd354380d4005428
63250"117845"2010-05-08 12:38:22"5237166fbd354380d4005425
63250"136322"2010-05-08 12:38:22"5237166fbd354380d400542e
63250"136342"2010-05-08 12:38:22"5237166fbd354380d4005427
63250"136448"2010-05-08 12:38:22"5237166fbd354380d4005424
63250"136650"2010-05-08 12:38:22"5237166fbd354380d4005429
63250"137012"2010-05-08 12:38:22"5237166fbd354380d400542f
63250"442390"2010-05-08 12:38:22"52aadfc6bd3543c21f000001
64176"36737"2009-06-06 17:27:42"5237ae02bd3543829a00399d
64176"70041"2009-06-06 17:27:42"5237ae02bd3543829a0039a0
64176"135977"2009-06-06 17:27:42"5237ae02bd3543829a00399f
64176"136071"2009-06-06 17:27:42"5237ae02bd3543829a00399e
64918"15032"2009-12-24 12:16:23"52374e65bd354383ff0036ad
64918"25715"2009-12-24 12:16:23"52374e65bd354383ff0036ab
64918"122698"2009-12-24 12:16:23"52374e65bd354383ff0036ac
65107"135842"2010-09-20 23:17:06"52371a2cbd3543845e001ab0
69158"142169"2012-04-28 00:47:18"523713d1bd35438a45005097
71786"64815"2009-09-09 02:55:16"52379440bd354397a2002be9
71786"64816"2009-09-09 02:55:16"52379440bd354397a2002bea
71786"149360"2009-09-09 02:55:16"52379440bd354397a2002be8
71786"149415"2009-09-09 02:55:16"52379440bd354397a2002beb
71787"45331"2012-02-25 11:39:13"52372fe8bd354398e20008e6
72032"5301"2010-04-06 09:11:59"5237a74fbd354399e8003191
72032"21948"2010-04-06 09:11:59"5237a74fbd354399e800318f
72032"25950"2010-04-06 09:11:59"5237a74fbd354399e8003192
72032"149934"2010-04-06 09:11:59"5237a74fbd354399e8003193
72032"150043"2010-04-06 09:11:59"5237a74fbd354399e8003190
72032"150286"2010-04-06 09:11:59"5237a74fbd354399e8003194
74914"5301"2011-02-13 17:38:17"523856a3bd3543a09a006895
74914"24596"2011-02-13 17:38:17"523856a3bd3543a09a006897
74914"149632"2011-02-13 17:38:17"523856a3bd3543a09a006898
74914"153413"2011-02-13 17:38:17"523856a3bd3543a09a006899
74914"153555"2011-02-13 17:38:17"523856a3bd3543a09a006896
75984"76310"2008-06-18 21:30:53"5237c7ffbd3543a7d0003129
75984"155195"2008-06-18 21:30:53"5237c7ffbd3543a7d0003123
75984"155199"2008-06-18 21:30:53"5237c7ffbd3543a7d0003126
75984"155259"2008-06-18 21:30:53"5237c7ffbd3543a7d0003124
75984"155366"2008-06-18 21:30:53"5237c7ffbd3543a7d0003127
75984"155543"2008-06-18 21:30:53"5237c7ffbd3543a7d0003128
75984"155842"2008-06-18 21:30:53"5237c7ffbd3543a7d0003120
75984"155862"2008-06-18 21:30:53"5237c7ffbd3543a7d0003122
75984"155864"2008-06-18 21:30:53"52aadfd0bd3543c26b000001
75984"155868"2008-06-18 21:30:53"5237c7ffbd3543a7d0003121
75984"175872"2008-06-18 21:30:53"5237c7ffbd3543a7d0003125
76945"24813"2010-07-12 17:15:33"523897aebd3543b1bf004fb4
76945"45213"2010-07-12 17:15:33"523897aebd3543b1bf004fb1
76945"76126"2010-07-12 17:15:33"523897aebd3543b1bf004fae
76945"153568"2010-07-12 17:15:33"523897aebd3543b1bf004fb0
76945"158876"2010-07-12 17:15:33"523897aebd3543b1bf004fb3
76945"158898"2010-07-12 17:15:33"523897aebd3543b1bf004faf
76945"158961"2010-07-12 17:15:33"523897aebd3543b1bf004fb2
77319"160737"2010-03-16 20:09:33"5237cac1bd3543ba8c0029cc
77319"162614"2010-03-16 20:09:33"52aadfd3bd3543c282000001
78835"47627"2009-03-05 09:14:18"5238e237bd3543c13e0058ce
78835"118323"2009-03-05 09:14:18"5238e237bd3543c13e0058cb
78835"141772"2009-03-05 09:14:18"5238e237bd3543c13e0058cc
78835"141896"2009-03-05 09:14:18"5238e237bd3543c13e0058ca
78835"141912"2009-03-05 09:14:18"5238e237bd3543c13e0058c7
78835"142053"2009-03-05 09:14:18"5238e237bd3543c13e0058c8
78835"142077"2009-03-05 09:14:18"5238e237bd3543c13e0058c9
78835"146758"2009-03-05 09:14:18"5238e237bd3543c13e0058cd
78835"172572"2009-03-05 09:14:18"5238e237bd3543c13e0058cf
78852"2638"2008-04-11 00:19:47"52aadf50bd3543bff500000f
78852"14527"2008-04-11 00:19:47"52aadf50bd3543bff500001b
78852"17402"2008-04-11 00:19:47"52aadf50bd3543bff5000023
78852"20038"2008-04-11 00:19:47"52aadf4fbd3543bff5000003
78852"22053"2008-04-11 00:19:47"52aadf50bd3543bff500001d
78852"22511"2008-04-11 00:19:47"52aadf50bd3543bff5000022
78852"27558"2008-04-11 00:19:47"52aadf50bd3543bff5000019
78852"27597"2008-04-11 00:19:47"52aadf50bd3543bff500001f
78852"30535"2008-04-11 00:19:47"52aadf50bd3543bff5000011
78852"31607"2008-04-11 00:19:47"52aadf50bd3543bff5000021
78852"43434"2008-04-11 00:19:47"52aadf50bd3543bff5000010
78852"46880"2008-04-11 00:19:47"52aadf4fbd3543bff5000008
78852"56175"2008-04-11 00:19:47"52aadf4fbd3543bff5000001
78852"59269"2008-04-11 00:19:47"52aadf4fbd3543bff5000004
78852"59741"2008-04-11 00:19:47"52aadf50bd3543bff5000020
78852"69820"2008-04-11 00:19:47"52aadf50bd3543bff500000e
78852"76348"2008-04-11 00:19:47"52aadf50bd3543bff500001e
78852"76561"2008-04-11 00:19:47"52aadf50bd3543bff5000024
78852"78306"2008-04-11 00:19:47"52aadf50bd3543bff5000016
78852"80352"2008-04-11 00:19:47"52aadf50bd3543bff500001c
78852"124155"2008-04-11 00:19:47"52aadf4fbd3543bff5000002
78852"150011"2008-04-11 00:19:47"52aadf50bd3543bff500001a
78852"164436"2008-04-11 00:19:47"52aadf50bd3543bff5000013
78852"169886"2008-04-11 00:19:47"52aadf4fbd3543bff5000009
78852"169975"2008-04-11 00:19:47"52aadf50bd3543bff500000c
78852"170043"2008-04-11 00:19:47"52aadf4fbd3543bff5000005
78852"170069"2008-04-11 00:19:47"52aadf50bd3543bff5000018
78852"170219"2008-04-11 00:19:47"52aadf50bd3543bff5000017
78852"170622"2008-04-11 00:19:47"52aadf50bd3543bff5000012
78852"171422"2008-04-11 00:19:47"52aadf4fbd3543bff5000006
78852"172474"2008-04-11 00:19:47"52aadf50bd3543bff500000d
78852"173234"2008-04-11 00:19:47"52aadf50bd3543bff500000a
78852"175103"2008-04-11 00:19:47"52aadf50bd3543bff500000b
78852"175556"2008-04-11 00:19:47"52aadf4fbd3543bff5000007
78852"178284"2008-04-11 00:19:47"52aadf50bd3543bff5000014
78852"179438"2008-04-11 00:19:47"52aadf50bd3543bff5000015
79163"8646"2009-05-20 17:38:37"52aadfd7bd3543c299000005
79163"9487"2009-05-20 17:38:37"52aadfd7bd3543c299000007
79163"18654"2009-05-20 17:38:37"52aadfd7bd3543c299000002
79163"32661"2009-05-20 17:38:37"52aadfd7bd3543c299000006
79163"32684"2009-05-20 17:38:37"52aadfd7bd3543c299000004
79163"40586"2009-05-20 17:38:37"52aadfd7bd3543c299000001
79163"179501"2009-05-20 17:38:37"52aadfd7bd3543c299000003
79163"197374"2009-05-20 17:38:37"52aadfd7bd3543c299000008
79166"11124"2008-10-20 04:29:03"5238ddf5bd3543c366006a6c
79166"16170"2008-10-20 04:29:03"5238ddf5bd3543c366006a6d
79166"27561"2008-10-20 04:29:03"5238ddf5bd3543c366006a6e
79166"27603"2008-10-20 04:29:03"5238ddf5bd3543c366006a6b
79166"27885"2008-10-20 04:29:03"5238ddf5bd3543c366006a6f
91020"14527"2011-10-02 14:25:27"523a862abd3543c857010724
91020"28676"2011-10-02 14:25:27"523a862abd3543c85701071a
91020"44035"2011-10-02 14:25:27"523a862abd3543c85701071b
91020"44943"2011-10-02 14:25:27"523a862abd3543c857010718
91020"46905"2011-10-02 14:25:27"523a862abd3543c857010722
91020"128529"2011-10-02 14:25:27"523a862abd3543c857010723
91020"151216"2011-10-02 14:25:27"523a862abd3543c857010719
91020"171670"2011-10-02 14:25:27"523a862abd3543c85701071d
91020"180647"2011-10-02 14:25:27"523a862abd3543c857010720
91020"180663"2011-10-02 14:25:27"523a862abd3543c85701071f
